City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,port elizabeth,-33.918,25.5701,22.16,99,0,6.17,ZA,1737591801
82,haiku-pauwela,20.9219,-156.3051,24.03,73,20,9.77,US,1737591803
83,invercargill,-46.4,168.35,12.79,96,100,6.71,NZ,1737591753
84,kone,-21.0595,164.8658,27.8,50,100,1.85,NC,1737591805
85,fauske,67.2588,15.3918,-14.79,85,14,2.74,NO,1737591806
86,yellowknife,62.456,-114.3525,-9.77,100,75,7.2,CA,1737591808
87,college,64.8569,-147.8028,-7.74,92,75,0.0,US,1737591809
88,qaqortoq,60.7167,-46.0333,-12.0,92,100,1.64,GL,1737591764
89,tosontsengel,48.7567,98.2839,-22.47,90,9,1.12,MN,1737591812
90,nikolayevsk-on-amure,53.1406,140.73,-16.33,96,67,1.67,RU,1737591814
91,tiksi,71.6872,128.8694,-37.37,98,92,3.68,RU,1737591815
92,al ghayzah,16.2079,52.176,18.74,33,0,4.14,YE,1737591816
93,isafjordur,66.0755,-23.124,-3.81,72,17,3.32,IS,1737591818
94,severo-yeniseyskiy,60.3725,93.0408,-13.81,89,91,7.2,RU,1737591819
95,flekkefjord,58.2971,6.6607,0.2,97,100,2.39,NO,1737591820
96,talnakh,69.4865,88.3972,-39.33,95,22,1.96,RU,1737591821
97,north bend,43.4065,-124.2243,13.48,44,0,4.12,US,1737591823
98,st. john's,47.5649,-52.7093,-8.9,67,100,7.2,CA,1737591824
99,ulsteinvik,62.3432,5.8487,4.62,93,6,2.86,NO,1737591825
100,el ejido,36.7763,-2.8146,16.06,38,6,4.07,ES,1737591826
101,island harbour,50.724,-1.2758,2.74,64,95,4.18,GB,1737591827
102,puerto natales,-51.7236,-72.4875,10.87,93,100,2.04,CL,1737591829
103,stanley,54.868,-1.6985,0.29,93,20,1.54,GB,1737591830
104,crieff,56.3727,-3.8389,2.09,88,98,1.16,GB,1737591713
105,vermillion,42.7794,-96.9292,-2.58,82,96,5.17,US,1737591833
106,buka,40.8108,69.1986,-2.17,73,100,2.73,UZ,1737591834
107,klyuchi,52.2667,79.1667,-19.15,92,100,7.03,RU,1737591835
108,puerto ayora,-0.7393,-90.3518,24.75,92,65,2.24,EC,1737591836
109,hailar,49.2,119.7,-31.33,100,90,1.58,CN,1737591837
110,ploudalmezeau,48.5333,-4.65,3.21,100,20,1.54,FR,1737591838
111,sinabang,2.4803,96.3801,25.52,83,100,0.92,ID,1737591839
112,aswan,24.0934,32.907,18.61,29,0,2.06,EG,1737591630
113,port lincoln,-34.7333,135.8667,19.24,62,100,7.88,AU,1737591842
114,port mathurin,-19.6833,63.4167,25.94,78,23,6.22,MU,1737591843
115,nova vicosa,-17.8919,-39.3719,26.06,87,0,4.3,BR,1737591844
116,margate,51.3813,1.3862,2.61,88,83,0.45,GB,1737591845
117,hasaki,35.7333,140.8333,11.73,49,84,4.44,JP,1737591846
118,crane,31.3974,-102.3501,9.2,19,68,2.6,US,1737591847
119,susuman,62.7833,148.1667,-44.22,100,89,0.25,RU,1737591850
120,aoulef,26.9667,1.0833,18.57,13,75,2.69,DZ,1737591851
121,jamestown,42.097,-79.2353,-11.66,50,100,7.2,US,1737591755
122,nizhneangarsk,55.7833,109.55,-13.82,86,42,1.83,RU,1737591853
123,ola,59.5833,151.2833,-25.18,82,1,2.26,RU,1737591854
124,keflavik,64.0049,-22.5624,3.24,65,20,13.89,IS,1737591856
125,koulikoro,14.0,-7.75,21.13,16,1,2.48,ML,1737591858
126,arquitecto tomas romero pereira,-26.4833,-55.25,29.17,49,40,1.69,PY,1737591860
